0.1449 	WARNING 	Movie2 stim could not be imported and won't be available
17.8621 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x1139a19e0>, name='window1', pos=[470, 200], screen=0, size=array([500, 500]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.8621 	EXP 	window1: recordFrameIntervals = False
18.0277 	EXP 	window1: recordFrameIntervals = True
18.2114 	EXP 	window1: recordFrameIntervals = False
18.2695 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'The experiment is about to begin. ', units=u'norm', win=Window(...), wrapWidth=1)
18.2719 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 200.,  200.]), texRes=128, units='pix', win=Window(...))
18.2729 	EXP 	Created unnamed ShapeStim = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='white', lineColorSpace='named', lineRGB=array([ 255.,  255.,  255.]), lineWidth=5, name='unnamed ShapeStim', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
18.2751 	EXP 	Created unnamed Circle = Circle(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor='red', fillColorSpace='named', fillRGB=array([ 255.,    0.,    0.]), interpolate=True, lineColor='red', lineColorSpace='named', lineRGB=array([ 255.,    0.,    0.]), lineWidth=1.5, name='unnamed Circle', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
18.2781 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 200.,  200.]), texRes=128, units='pix', win=Window(...))
18.2959 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.3276 	EXP 	instrText: autoDraw = True
20.0954 	DATA 	Keypress: lcommand
32.1832 	DATA 	Keypress: t
32.1849 	EXP 	Imported SvR_blocks.csv as conditions, 16 conditions, 2 params
32.1852 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
32.2498 	EXP 	New trial (rep=0, index=0): {'Block_id': 'block_1_img', 'Block_ans': 'block_1_ans'}
32.2748 	EXP 	Imported SvR_onsets.csv as conditions, 256 conditions, 32 params
32.2765 	EXP 	Created sequence: sequential, trialTypes=256, nReps=1, seed=None
32.2948 	EXP 	instrText: autoDraw = False
32.2948 	EXP 	instrText: autoDraw = False
32.2948 	EXP 	unnamed ShapeStim: autoDraw = True
42.1849 	EXP 	New trial (rep=0, index=0): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 3, 'block_8_ans': 3, 'block_16_ans': 3, 'block_5_ans': 5, 'block_15_ans': 4, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 4, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 5, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 3, 'block_3_ans': 4, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_4.png', 'block_15_img': 'image_folder/stim_4.png'}
42.1896 	EXP 	New trial (rep=0, index=1): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_3.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_3.png', 'block_14_img': 'image_folder/stim_3.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 3, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 4, 'block_8_ans': 4, 'block_16_ans': 2, 'block_5_ans': 4, 'block_15_ans': 3, 'block_13_ans': 3, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 3, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_4.png', 'block_2_ans': 4, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 5, 'block_3_ans': 5, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_4.png', 'block_11_img': 'image_folder/stim_5.png', 'block_3_img': 'image_folder/stim_5.png', 'block_15_img': 'image_folder/stim_3.png'}
42.1925 	EXP 	New trial (rep=0, index=2): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_4.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 3, 'block_8_ans': 2, 'block_16_ans': 3, 'block_5_ans': 2, 'block_15_ans': 2, 'block_13_ans': 4, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_2.png', 'block_2_ans': 5, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 3, 'block_3_ans': 3, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_2.png'}
42.1947 	EXP 	New trial (rep=0, index=3): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_2.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 3, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 2, 'block_8_ans': 5, 'block_16_ans': 4, 'block_5_ans': 4, 'block_15_ans': 4, 'block_13_ans': 2, 'block_9_img': 'image_folder/stim_3.png', 'block_6_ans': 2, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 2, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 4, 'block_3_ans': 2, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_4.png'}
42.1972 	EXP 	New trial (rep=0, index=4): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 4, 'block_8_ans': 3, 'block_16_ans': 2, 'block_5_ans': 2, 'block_15_ans': 2, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 4, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 2, 'block_3_ans': 3, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_4.png', 'block_11_img': 'image_folder/stim_2.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_2.png'}
